index,question,encoding,answer,type
0,Is the gray object on the left or on the right?,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",right,1
1,What is the color of the object that is closest to the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",blue,0
2,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
3,What is the color of the object that is closest to the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",blue,0
4,What is the shape of the green object?,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",circle,1
5,Is the red object on the left or on the right?,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",left,1
6,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
7,Is the blue object on the top or on the bottom?,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",bottom,1
8,What is the color of the object that is closest to the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",yellow,0
9,What is the shape of the gray object?,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",circle,1
10,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",square,0
11,Is the red object on the left or on the right?,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",right,1
12,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",square,0
13,What is the color of the object that is closest to the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",green,0
14,What is the shape of the blue object?,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",square,1
15,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",square,0
16,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",green,0
17,What is the color of the object that is closest to the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",yellow,0
18,What is the color of the object that is closest to the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",red,0
19,Is the red object on the top or on the bottom?,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",top,1
20,What is the shape of the blue object?,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",circle,1
21,Is the green object on the left or on the right?,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",left,1
22,Is the blue object on the top or on the bottom?,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",bottom,1
23,Is the blue object on the top or on the bottom?,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",bottom,1
24,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",square,0
25,What is the color of the object that is closest to the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",gray,0
26,What is the color of the object that is closest to the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",gray,0
27,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",red,0
28,Is the blue object on the top or on the bottom?,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",top,1
29,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",circle,0
30,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",square,0
